week,inc
199702,364
199703,248
199704,167
199705,165
199706,132
199707,122
199708,95
199709,51
199710,38
199711,34
199712,30
199713,31
199714,23
199715,16
199716,21
199717,24
199718,9
199719,8
199720,6
199721,4
199722,4
199723,8
199724,8
199725,7
199726,10
199727,4
199728,3
199729,3
199730,4
199731,2
199732,4
199733,3
199734,6
199735,3
199736,9
199737,8
199738,6
199739,18
199740,23
199741,29
199742,26
199743,29
199744,34
199745,31
199746,14
199747,19
199748,20
199749,27
199750,58
199751,60
199752,50
199801,43
199802,53
199803,41
199804,51
199805,77
199806,151
199807,326
199808,465
199809,390
199810,347
199811,378
199812,452
199813,512
199814,547
199815,294
199816,211
199817,105
199818,54
199819,41
199820,21
199821,8
199822,9
199823,15
199824,28
199825,31
199826,18
199827,21
199828,16
199829,11
199830,9
199831,21
199832,2
199833,5
199834,7
199835,4
199836,5
199837,12
199838,19
199839,29
199840,35
199841,42
199842,32
199843,21
199844,22
199845,22
199846,24
199847,25
199848,39
199849,57
199850,94
199851,134
199852,124
199853,185
199901,222
199902,275
199903,414
199904,630
199905,815
199906,844
199907,896
199908,536
199909,355
199910,253
199911,156
199912,99
199913,66
199914,32
199915,20
199916,13
199917,5
199918,5
199919,11
199920,10
199921,7
199922,8
199923,9
199924,7
199925,9
199926,6
199927,9
199928,6
199929,7
199930,3
199931,5
199932,12
199933,17
199934,13
199935,6
199936,14
199937,13
199938,21
199939,49
199940,41
199941,43
199942,33
199943,31
199944,31
199945,30
199946,15
199947,61
199948,100
199949,192
199950,310
199951,465
199952,663
200001,922
200002,886
200003,824
200004,637
200005,445
200006,249
200007,101
200008,40
200009,25
200010,15
200011,21
200012,12
200013,15
200014,19
200015,20
200016,9
200017,12
200018,9
200019,24
200020,8
200021,7
200022,8
200023,15
200024,9
200025,7
200026,3
200027,4
200028,2
200029,3
200030,0
200031,4
200032,2
200033,3
200034,9
200035,10
200036,5
200037,4
200038,13
200039,33
200040,46
200041,68
200042,70
200043,63
200044,28
200045,43
200046,35
200047,110
200048,74
200049,126
200050,169
200051,213
200052,244
200101,167
200102,178
200103,236
200104,354
200105,471
200106,382
200107,215
200108,131
200109,99
200110,79
200111,84
200112,77
200113,82
200114,68
200115,41
200116,41
200117,44
200118,36
200119,29
200120,26
200121,15
200122,8
200123,11
200124,8
200125,4
200126,6
200127,8
200128,6
200129,4
200130,4
200131,32
200132,0
200133,0
200134,5
200135,7
200136,8
200137,14
200138,16
200139,43
200140,31
200141,34
200142,32
200143,39
200144,19
200145,35
200146,36
200147,46
200148,73
200149,59
200150,53
200151,78
200152,98
200201,194
200202,410
200203,645
200204,848
200205,767
200206,546
200207,286
200208,197
200209,107
200210,72
200211,68
200212,56
200213,46
200214,40
200215,36
200216,30
200217,12
200218,10
200219,10
200220,6
200221,10
200222,8
200223,26
200224,20
200225,8
200226,8
200227,3
200228,11
200229,9
200230,6
200231,9
200232,2
200233,4
200234,5
200235,4
200236,3
200237,21
200238,12
200239,27
200240,14
200241,19
200242,23
